sample_id,dataset,baseline_relevance,baseline_coherence,baseline_naturalness,baseline_avg,finetuned_relevance,finetuned_coherence,finetuned_naturalness,finetuned_avg,zeroshot_relevance,zeroshot_coherence,zeroshot_naturalness,zeroshot_avg,fewshot_relevance,fewshot_coherence,fewshot_naturalness,fewshot_avg,winner,timestamp
sample_191,GEM/schema_guided_dialog,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:44:54.524Z
sample_301,GEM/schema_guided_dialog,5,5,5,5.00,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:45:28.953Z
sample_363,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,4,4.67,5,5,4,4.67,tie,2026-02-04T17:45:48.473Z
sample_84,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:46:32.998Z
sample_160,allenai/WildChat-1M,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,tie,2026-02-04T17:46:37.223Z
sample_282,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:47:16.890Z
sample_374,allenai/WildChat-1M,4,4,5,4.33,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:47:52.043Z
sample_87,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:48:44.573Z
sample_203,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,3,4,5,4.00,5,5,5,5.00,tie,2026-02-04T17:49:18.923Z
sample_36,allenai/WildChat-1M,1,1,1,1.00,4,4,5,4.33,5,5,5,5.00,3,4,5,4.00,prompt_zeroshot,2026-02-04T17:50:22.722Z
sample_17,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,tie,2026-02-04T17:51:43.034Z
sample_287,GEM/schema_guided_dialog,2,3,5,3.33,4,5,5,4.67,5,5,5,5.00,4,5,5,4.67,prompt_zeroshot,2026-02-04T17:52:34.809Z
sample_7,GEM/schema_guided_dialog,5,5,5,5.00,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T17:53:12.809Z
sample_330,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,3,4,5,4.00,3,4,4,3.67,tie,2026-02-04T17:54:03.825Z
sample_79,GEM/schema_guided_dialog,3,4,5,4.00,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,tie,2026-02-04T18:17:10.968Z
sample_309,GEM/schema_guided_dialog,3,3,5,3.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:17:38.822Z
sample_76,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:18:21.055Z
sample_88,allenai/WildChat-1M,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:18:50.750Z
sample_30,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:19:13.205Z
sample_386,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:19:45.313Z
sample_131,GEM/schema_guided_dialog,4,2,2,2.67,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:20:17.416Z
sample_24,allenai/WildChat-1M,3,4,5,4.00,5,5,5,5.00,3,4,5,4.00,3,4,5,4.00,finetuned,2026-02-04T18:20:52.300Z
sample_94,allenai/WildChat-1M,5,5,5,5.00,3,3,5,3.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:22:13.756Z
sample_2,allenai/WildChat-1M,4,4,5,4.33,2,1,5,2.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:23:01.751Z
sample_83,GEM/schema_guided_dialog,3,3,1,2.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:24:05.172Z
sample_150,allenai/WildChat-1M,5,5,5,5.00,4,3,5,4.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:24:58.491Z
sample_159,GEM/schema_guided_dialog,2,2,3,2.33,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:25:41.142Z
sample_325,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:26:13.854Z
sample_291,GEM/schema_guided_dialog,3,3,5,3.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:27:05.183Z
sample_234,allenai/WildChat-1M,5,5,5,5.00,5,4,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:28:12.262Z
sample_95,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:28:34.812Z
sample_74,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:28:59.745Z
sample_228,allenai/WildChat-1M,4,3,4,3.67,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:29:39.483Z
sample_318,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:30:28.112Z
sample_172,allenai/WildChat-1M,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,4,5,5,4.67,tie,2026-02-04T18:31:09.417Z
sample_384,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,1,1,3,1.67,5,5,5,5.00,tie,2026-02-04T18:31:44.171Z
sample_238,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:32:15.729Z
sample_349,GEM/schema_guided_dialog,3,3,5,3.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:32:46.187Z
sample_345,GEM/schema_guided_dialog,4,3,2,3.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:33:18.971Z
sample_314,allenai/WildChat-1M,5,4,2,3.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:33:59.054Z
sample_283,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,4,4,5,4.33,tie,2026-02-04T18:34:30.733Z
sample_96,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,4,5,5,4.67,tie,2026-02-04T18:35:24.167Z
sample_270,allenai/WildChat-1M,5,5,5,5.00,3,3,5,3.67,4,5,5,4.67,2,2,5,3.00,baseline,2026-02-04T18:36:33.408Z
sample_33,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:37:35.296Z
sample_154,allenai/WildChat-1M,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,tie,2026-02-04T18:37:37.480Z
sample_176,allenai/WildChat-1M,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,3,3,3,3.00,tie,2026-02-04T18:37:38.662Z
sample_117,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:38:05.542Z
sample_347,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:38:35.875Z
sample_370,allenai/WildChat-1M,4,2,1,2.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:39:10.883Z
sample_81,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:39:34.484Z
sample_195,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:39:55.155Z
sample_278,allenai/WildChat-1M,2,2,2,2.00,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:40:39.825Z
sample_360,allenai/WildChat-1M,4,4,5,4.33,5,5,5,5.00,1,1,1,1.00,1,1,1,1.00,finetuned,2026-02-04T18:41:26.563Z
sample_368,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:41:52.671Z
sample_364,allenai/WildChat-1M,4,2,1,2.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:42:30.763Z
sample_338,allenai/WildChat-1M,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:42:58.167Z
sample_350,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:43:23.401Z
sample_196,allenai/WildChat-1M,4,4,5,4.33,1,1,1,1.00,5,5,5,5.00,2,2,1,1.67,prompt_zeroshot,2026-02-04T18:43:56.863Z
sample_373,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:44:18.667Z
sample_260,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:44:45.817Z
sample_308,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:45:23.622Z
sample_48,allenai/WildChat-1M,3,1,1,1.67,3,1,1,1.67,3,1,1,1.67,3,1,1,1.67,tie,2026-02-04T18:46:02.429Z
sample_129,GEM/schema_guided_dialog,4,2,1,2.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:46:31.926Z
sample_174,allenai/WildChat-1M,5,5,5,5.00,2,2,5,3.00,2,2,5,3.00,3,4,5,4.00,baseline,2026-02-04T18:47:20.688Z
sample_251,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:47:45.839Z
sample_112,allenai/WildChat-1M,3,2,1,2.00,2,1,5,2.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:48:33.855Z
sample_13,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:49:06.938Z
sample_97,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,3,5,4,4.00,5,5,5,5.00,tie,2026-02-04T18:49:45.001Z
sample_133,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:50:08.271Z
sample_297,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:50:34.655Z
sample_250,allenai/WildChat-1M,4,1,1,2.00,5,5,5,5.00,1,2,1,1.33,5,5,5,5.00,tie,2026-02-04T18:51:15.789Z
sample_362,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:51:53.913Z
sample_107,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:52:38.582Z
sample_78,allenai/WildChat-1M,5,5,5,5.00,2,1,1,1.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:53:07.609Z
sample_221,GEM/schema_guided_dialog,3,4,5,4.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:53:41.639Z
sample_229,GEM/schema_guided_dialog,2,3,2,2.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:54:19.389Z
sample_242,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:54:42.593Z
sample_257,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:55:13.006Z
sample_377,GEM/schema_guided_dialog,4,5,5,4.67,5,5,5,5.00,4,4,5,4.33,5,5,5,5.00,tie,2026-02-04T18:55:50.710Z
sample_168,allenai/WildChat-1M,3,4,2,3.00,5,5,5,5.00,5,5,5,5.00,4,5,5,4.67,tie,2026-02-04T18:56:36.573Z
sample_9,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:56:59.697Z
sample_109,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:57:27.118Z
sample_123,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:57:48.006Z
sample_111,GEM/schema_guided_dialog,5,5,4,4.67,5,5,4,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:58:09.306Z
sample_192,allenai/WildChat-1M,2,1,1,1.33,3,3,2,2.67,2,3,4,3.00,2,4,2,2.67,prompt_zeroshot,2026-02-04T18:58:52.339Z
sample_245,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,3,4,1,2.67,5,5,5,5.00,tie,2026-02-04T18:59:25.710Z
sample_16,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T18:59:53.585Z
sample_331,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:00:28.381Z
sample_125,GEM/schema_guided_dialog,5,5,5,5.00,5,4,5,4.67,5,5,3,4.33,5,5,5,5.00,tie,2026-02-04T19:00:53.927Z
sample_280,allenai/WildChat-1M,5,5,5,5.00,1,2,5,2.67,5,5,4,4.67,5,5,5,5.00,tie,2026-02-04T19:01:26.394Z
sample_124,allenai/WildChat-1M,4,5,5,4.67,5,5,5,5.00,4,5,4,4.33,4,5,5,4.67,finetuned,2026-02-04T19:01:57.073Z
sample_103,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:02:17.180Z
sample_110,allenai/WildChat-1M,4,4,4,4.00,1,3,1,1.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:02:52.785Z
sample_222,allenai/WildChat-1M,2,4,5,3.67,2,2,1,1.67,5,5,5,5.00,1,1,1,1.00,prompt_zeroshot,2026-02-04T19:03:37.423Z
sample_212,allenai/WildChat-1M,1,2,5,2.67,5,5,5,5.00,3,3,5,3.67,3,3,5,3.67,finetuned,2026-02-04T19:04:26.869Z
sample_162,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:05:01.773Z
sample_59,GEM/schema_guided_dialog,2,2,1,1.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:05:23.269Z
sample_190,allenai/WildChat-1M,1,1,5,2.33,2,2,5,3.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:05:51.419Z
sample_27,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:06:26.061Z
sample_237,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:06:49.669Z
sample_130,allenai/WildChat-1M,5,5,5,5.00,1,3,3,2.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:07:15.494Z
sample_184,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:07:49.115Z
sample_255,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:08:13.877Z
sample_140,allenai/WildChat-1M,4,5,3,4.00,5,5,5,5.00,4,5,3,4.00,5,5,5,5.00,tie,2026-02-04T19:08:52.890Z
sample_99,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:09:16.186Z
sample_121,GEM/schema_guided_dialog,5,5,4,4.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:09:44.144Z
sample_387,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:10:35.040Z
sample_296,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:11:17.323Z
sample_82,allenai/WildChat-1M,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:11:42.432Z
sample_262,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:12:07.044Z
sample_21,GEM/schema_guided_dialog,3,4,4,3.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:12:53.307Z
sample_254,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:13:31.048Z
sample_8,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:13:51.615Z
sample_298,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:14:23.207Z
sample_0,allenai/WildChat-1M,5,5,5,5.00,1,1,5,2.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:15:03.307Z
sample_258,allenai/WildChat-1M,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:15:39.627Z
sample_73,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:16:05.827Z
sample_56,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:16:54.340Z
sample_35,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:17:20.661Z
sample_3,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:17:48.927Z
sample_153,GEM/schema_guided_dialog,2,2,1,1.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:18:13.398Z
sample_40,allenai/WildChat-1M,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:18:42.074Z
sample_145,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:19:05.045Z
sample_329,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:19:36.470Z
sample_322,allenai/WildChat-1M,5,5,5,5.00,2,2,1,1.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:20:10.457Z
sample_236,allenai/WildChat-1M,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:20:40.994Z
sample_1,GEM/schema_guided_dialog,4,5,5,4.67,5,5,5,5.00,4,5,5,4.67,5,5,5,5.00,tie,2026-02-04T19:21:34.078Z
sample_49,GEM/schema_guided_dialog,2,2,1,1.67,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:22:00.744Z
sample_199,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:22:33.728Z
sample_292,allenai/WildChat-1M,2,1,1,1.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:23:06.720Z
sample_378,allenai/WildChat-1M,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:23:39.149Z
sample_358,allenai/WildChat-1M,4,4,5,4.33,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:24:12.116Z
sample_53,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:24:33.436Z
sample_189,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:25:48.765Z
sample_80,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:26:13.087Z
sample_101,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:26:37.224Z
sample_18,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:26:58.899Z
sample_39,GEM/schema_guided_dialog,2,2,2,2.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:27:29.266Z
sample_352,allenai/WildChat-1M,5,5,5,5.00,2,2,5,3.00,4,4,5,4.33,5,5,5,5.00,tie,2026-02-04T19:28:18.436Z
sample_210,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:28:47.953Z
sample_315,GEM/schema_guided_dialog,2,2,5,3.00,2,2,5,3.00,3,3,5,3.67,5,5,5,5.00,prompt_fewshot,2026-02-04T19:29:42.674Z
sample_313,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:30:08.395Z
sample_224,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:30:49.550Z
sample_12,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,4,4.67,5,5,5,5.00,tie,2026-02-04T19:31:15.508Z
sample_344,allenai/WildChat-1M,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:31:47.420Z
sample_209,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:32:09.532Z
sample_305,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:32:31.549Z
sample_371,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:32:53.733Z
sample_389,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:33:16.474Z
sample_235,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:33:36.182Z
sample_104,allenai/WildChat-1M,5,5,5,5.00,1,3,2,2.00,5,5,5,5.00,1,1,1,1.00,tie,2026-02-04T19:34:11.524Z
sample_113,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:34:38.474Z
sample_243,GEM/schema_guided_dialog,4,3,5,4.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:35:11.700Z
sample_198,allenai/WildChat-1M,5,5,5,5.00,4,4,5,4.33,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:35:41.625Z
sample_166,allenai/WildChat-1M,1,1,1,1.00,4,3,5,4.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:36:28.587Z
sample_71,GEM/schema_guided_dialog,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,5,5,5,5.00,tie,2026-02-04T19:36:51.771Z
