sample_id,dataset,base__relevance,base__coherence,base__naturalness,base__avg,fine_tuned__relevance,fine_tuned__coherence,fine_tuned__naturalness,fine_tuned__avg,prompt_few_shot__relevance,prompt_few_shot__coherence,prompt_few_shot__naturalness,prompt_few_shot__avg,prompt_zero_shot__relevance,prompt_zero_shot__coherence,prompt_zero_shot__naturalness,prompt_zero_shot__avg,winner,timestamp
sample_282,allenai/WildChat-1M,4,2,1,2.33,5,5,5,5.0,5,5,5,5.0,4,4,3,3.67,tie,2026-04-13T09:14:07.907Z
sample_374,allenai/WildChat-1M,4,4,4,4.0,5,5,5,5.0,1,1,2,1.33,2,2,2,2.0,fine_tuned,2026-04-13T09:14:40.712Z
sample_87,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,tie,2026-04-13T09:15:01.085Z
sample_203,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,2,2.0,1,1,1,1.0,tie,2026-04-13T09:15:24.091Z
sample_36,allenai/WildChat-1M,5,5,1,3.67,2,2,4,2.67,2,1,1,1.33,4,5,1,3.33,base,2026-04-13T09:15:52.612Z
sample_17,GEM/schema_guided_dialog,5,5,5,5.0,4,4,4,4.0,1,1,1,1.0,1,1,1,1.0,base,2026-04-13T09:16:18.707Z
sample_287,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,4,4,5,4.33,5,5,5,5.0,tie,2026-04-13T09:16:46.414Z
sample_7,GEM/schema_guided_dialog,5,5,5,5.0,4,4,5,4.33,4,2,2,2.67,5,5,5,5.0,tie,2026-04-13T09:17:11.345Z
sample_330,allenai/WildChat-1M,4,4,5,4.33,4,4,5,4.33,3,2,3,2.67,2,2,3,2.33,tie,2026-04-13T09:23:25.072Z
sample_79,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,2,2.0,5,5,5,5.0,tie,2026-04-13T09:23:53.829Z
sample_309,GEM/schema_guided_dialog,3,3,3,3.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T09:24:21.005Z
sample_76,allenai/WildChat-1M,5,5,4,4.67,4,4,4,4.0,4,2,2,2.67,5,5,5,5.0,prompt_zero_shot,2026-04-13T09:24:56.900Z
sample_88,allenai/WildChat-1M,5,5,5,5.0,4,4,5,4.33,4,2,2,2.67,2,2,2,2.0,base,2026-04-13T09:27:52.191Z
sample_30,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,5,5,5,5.0,tie,2026-04-13T09:28:13.237Z
sample_386,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,4,2,1,2.33,5,5,5,5.0,tie,2026-04-13T09:28:32.753Z
sample_131,GEM/schema_guided_dialog,3,1,1,1.67,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T09:29:00.607Z
sample_24,allenai/WildChat-1M,4,4,5,4.33,3,3,5,3.67,2,1,1,1.33,2,2,1,1.67,base,2026-04-13T09:30:51.487Z
sample_94,allenai/WildChat-1M,3,3,3,3.0,5,5,5,5.0,2,1,1,1.33,2,2,3,2.33,fine_tuned,2026-04-13T09:31:20.618Z
sample_2,allenai/WildChat-1M,5,5,5,5.0,1,1,3,1.67,4,4,3,3.67,2,3,2,2.33,base,2026-04-13T09:31:53.707Z
sample_83,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,4,4,1,3.0,5,4,4,4.33,fine_tuned,2026-04-13T09:32:15.952Z
sample_150,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,2,1,1,1.33,tie,2026-04-13T09:32:42.728Z
sample_159,GEM/schema_guided_dialog,5,5,4,4.67,5,5,5,5.0,1,1,1,1.0,2,1,2,1.67,fine_tuned,2026-04-13T09:33:08.467Z
sample_325,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T09:33:21.127Z
sample_291,GEM/schema_guided_dialog,2,1,1,1.33,5,5,5,5.0,3,1,1,1.67,4,4,2,3.33,fine_tuned,2026-04-13T09:33:41.182Z
sample_234,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T09:34:05.301Z
sample_95,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T09:34:20.304Z
sample_74,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,1,1,2,1.33,tie,2026-04-13T09:34:34.182Z
sample_228,allenai/WildChat-1M,4,4,2,3.33,4,4,2,3.33,1,1,1,1.0,3,3,3,3.0,tie,2026-04-13T09:35:19.838Z
sample_318,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,2,2,2.0,2,2,2,2.0,tie,2026-04-13T09:35:40.762Z
sample_172,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,4,4,1,3.0,tie,2026-04-13T09:43:54.206Z
sample_384,allenai/WildChat-1M,4,4,4,4.0,5,5,5,5.0,2,1,1,1.33,2,1,1,1.33,fine_tuned,2026-04-13T09:44:25.631Z
sample_238,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T12:31:50.243Z
sample_349,GEM/schema_guided_dialog,2,2,3,2.33,4,4,5,4.33,1,1,1,1.0,5,5,5,5.0,prompt_zero_shot,2026-04-13T12:32:28.379Z
sample_345,GEM/schema_guided_dialog,1,1,1,1.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T12:32:53.772Z
sample_314,allenai/WildChat-1M,4,2,2,2.67,5,5,5,5.0,2,2,2,2.0,4,4,5,4.33,fine_tuned,2026-04-13T12:33:25.618Z
sample_283,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T12:33:44.097Z
sample_96,allenai/WildChat-1M,4,4,4,4.0,4,4,3,3.67,2,1,1,1.33,5,4,4,4.33,prompt_zero_shot,2026-04-13T12:34:48.388Z
sample_270,allenai/WildChat-1M,1,1,3,1.67,5,5,5,5.0,2,2,1,1.67,4,4,2,3.33,fine_tuned,2026-04-13T14:11:14.952Z
sample_33,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T14:58:12.338Z
sample_154,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T14:58:14.256Z
sample_176,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T14:58:15.843Z
sample_117,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T14:58:35.493Z
sample_347,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,2,3,2.33,5,5,5,5.0,tie,2026-04-13T14:58:55.309Z
sample_370,allenai/WildChat-1M,2,1,1,1.33,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T14:59:27.031Z
sample_81,GEM/schema_guided_dialog,1,1,1,1.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T14:59:53.193Z
sample_195,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T15:00:10.413Z
sample_278,allenai/WildChat-1M,1,1,2,1.33,3,2,2,2.33,4,4,4,4.0,2,1,2,1.67,prompt_few_shot,2026-04-13T15:01:14.686Z
sample_360,allenai/WildChat-1M,5,5,4,4.67,5,5,5,5.0,1,1,1,1.0,1,1,1,1.0,fine_tuned,2026-04-13T15:02:09.961Z
sample_368,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,3,3,3.0,5,5,5,5.0,tie,2026-04-13T15:02:41.418Z
sample_364,allenai/WildChat-1M,1,1,1,1.0,5,5,5,5.0,3,3,3,3.0,3,3,3,3.0,fine_tuned,2026-04-13T15:03:10.447Z
sample_338,allenai/WildChat-1M,4,4,5,4.33,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:04:53.088Z
sample_350,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,4,4,3,3.67,4,4,4,4.0,tie,2026-04-13T15:05:20.403Z
sample_196,allenai/WildChat-1M,5,5,3,4.33,2,1,2,1.67,5,5,4,4.67,2,1,2,1.67,prompt_few_shot,2026-04-13T15:06:02.791Z
sample_373,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T15:06:29.549Z
sample_260,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T15:06:55.619Z
sample_308,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,4,3,3,3.33,tie,2026-04-13T15:07:21.692Z
sample_48,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:07:40.922Z
sample_129,GEM/schema_guided_dialog,1,1,1,1.0,5,5,5,5.0,2,1,1,1.33,2,3,2,2.33,fine_tuned,2026-04-13T15:08:11.629Z
sample_174,allenai/WildChat-1M,2,2,3,2.33,1,1,3,1.67,1,1,1,1.0,2,2,3,2.33,tie,2026-04-13T15:09:06.482Z
sample_251,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,1,1,2.33,5,5,5,5.0,tie,2026-04-13T15:09:24.602Z
sample_112,allenai/WildChat-1M,2,1,1,1.33,2,2,5,3.0,5,5,5,5.0,5,5,4,4.67,prompt_few_shot,2026-04-13T15:10:02.208Z
sample_13,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T15:10:27.722Z
sample_97,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,4,4,5,4.33,tie,2026-04-13T15:10:50.058Z
sample_133,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T15:11:12.485Z
sample_297,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T15:11:26.280Z
sample_250,allenai/WildChat-1M,3,1,2,2.0,5,5,5,5.0,3,1,3,2.33,5,5,4,4.67,fine_tuned,2026-04-13T15:12:23.161Z
sample_362,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:12:25.640Z
sample_107,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T15:13:06.709Z
sample_78,allenai/WildChat-1M,5,5,5,5.0,2,1,3,2.0,4,3,3,3.33,5,5,5,5.0,tie,2026-04-13T15:13:49.624Z
sample_221,GEM/schema_guided_dialog,3,3,4,3.33,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T15:14:17.445Z
sample_229,GEM/schema_guided_dialog,4,4,5,4.33,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T15:14:52.230Z
sample_242,allenai/WildChat-1M,4,4,5,4.33,5,5,5,5.0,1,1,3,1.67,5,5,5,5.0,tie,2026-04-13T15:15:15.786Z
sample_257,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T15:15:28.098Z
sample_377,GEM/schema_guided_dialog,5,5,5,5.0,5,4,5,4.67,1,1,1,1.0,1,1,3,1.67,base,2026-04-13T15:16:36.726Z
sample_168,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:16:40.098Z
sample_9,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,1,1.0,5,5,5,5.0,tie,2026-04-13T15:16:55.185Z
sample_109,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,3,1.67,2,2,2,2.0,tie,2026-04-13T15:17:16.020Z
sample_123,GEM/schema_guided_dialog,4,5,5,4.67,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T15:17:40.590Z
sample_111,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,2,1,2.0,5,5,5,5.0,tie,2026-04-13T15:17:54.826Z
sample_192,allenai/WildChat-1M,3,3,3,3.0,2,2,2,2.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:18:15.540Z
sample_245,GEM/schema_guided_dialog,2,1,2,1.67,5,5,5,5.0,2,1,2,1.67,5,5,5,5.0,tie,2026-04-13T15:18:49.906Z
sample_16,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:18:53.895Z
sample_331,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,1,1,2,1.33,5,5,5,5.0,tie,2026-04-13T15:19:10.185Z
sample_125,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,4,5,5,4.67,5,5,5,5.0,tie,2026-04-13T15:19:28.531Z
sample_280,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,4,4,4,4.0,2,3,5,3.33,tie,2026-04-13T15:20:02.823Z
sample_124,allenai/WildChat-1M,2,1,1,1.33,5,5,5,5.0,3,3,3,3.0,2,1,1,1.33,fine_tuned,2026-04-13T15:20:28.290Z
sample_103,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,5,2.67,5,5,5,5.0,tie,2026-04-13T15:20:42.571Z
sample_110,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:20:45.019Z
sample_222,allenai/WildChat-1M,5,5,5,5.0,2,2,2,2.0,1,1,2,1.33,1,1,1,1.0,base,2026-04-13T15:21:18.617Z
sample_212,allenai/WildChat-1M,2,2,5,3.0,5,5,5,5.0,1,1,2,1.33,3,3,3,3.0,fine_tuned,2026-04-13T15:21:47.402Z
sample_162,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:21:49.246Z
sample_59,GEM/schema_guided_dialog,4,2,2,2.67,5,5,5,5.0,2,2,2,2.0,4,2,4,3.33,fine_tuned,2026-04-13T15:22:18.798Z
sample_190,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,4,5,4.33,tie,2026-04-13T15:22:43.396Z
sample_27,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,3,1,3,2.33,tie,2026-04-13T15:23:08.028Z
sample_237,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T15:23:28.669Z
sample_130,allenai/WildChat-1M,5,5,4,4.67,5,5,5,5.0,2,2,3,2.33,3,2,2,2.33,fine_tuned,2026-04-13T15:27:46.128Z
sample_184,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:27:50.657Z
sample_255,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,2,2.0,5,5,5,5.0,tie,2026-04-13T15:28:04.201Z
sample_140,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:28:07.081Z
sample_99,GEM/schema_guided_dialog,5,5,4,4.67,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:28:26.611Z
sample_121,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,2,2.0,5,5,5,5.0,tie,2026-04-13T15:28:49.276Z
sample_387,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4,3,3,3.33,tie,2026-04-13T15:29:06.975Z
sample_296,allenai/WildChat-1M,4,4,4,4.0,4,4,4,4.0,2,1,1,1.33,4,4,4,4.0,tie,2026-04-13T15:29:49.578Z
sample_82,allenai/WildChat-1M,4,5,5,4.67,5,5,5,5.0,2,2,3,2.33,3,3,3,3.0,fine_tuned,2026-04-13T15:30:16.772Z
sample_262,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,3,2,4,3.0,tie,2026-04-13T15:30:40.983Z
sample_21,GEM/schema_guided_dialog,3,3,4,3.33,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:31:15.273Z
sample_254,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:31:16.726Z
sample_8,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4,3,3,3.33,tie,2026-04-13T15:32:09.298Z
sample_298,allenai/WildChat-1M,4,4,2,3.33,5,5,5,5.0,3,3,3,3.0,4,4,4,4.0,fine_tuned,2026-04-13T15:32:29.324Z
sample_0,allenai/WildChat-1M,5,5,5,5.0,3,3,3,3.0,2,1,2,1.67,2,1,2,1.67,base,2026-04-13T15:33:06.223Z
sample_258,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:33:14.442Z
sample_73,GEM/schema_guided_dialog,3,4,5,4.0,5,5,5,5.0,2,1,3,2.0,3,4,5,4.0,fine_tuned,2026-04-13T15:33:42.959Z
sample_56,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,3,5,3.33,2,2,3,2.33,tie,2026-04-13T15:34:04.574Z
sample_35,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,3,2.33,5,5,5,5.0,tie,2026-04-13T15:34:27.913Z
sample_3,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T15:34:47.219Z
sample_153,GEM/schema_guided_dialog,3,1,1,1.67,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,tie,2026-04-13T15:35:03.327Z
sample_40,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:35:05.777Z
sample_145,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,2,1,3,2.0,tie,2026-04-13T15:35:32.671Z
sample_329,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T15:35:54.870Z
sample_322,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:35:57.269Z
sample_236,allenai/WildChat-1M,3,2,2,2.33,5,5,5,5.0,2,2,3,2.33,5,5,5,5.0,tie,2026-04-13T15:36:23.506Z
sample_1,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,2,2,2.67,tie,2026-04-13T15:36:47.085Z
sample_49,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:37:01.948Z
sample_199,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,2,2.0,5,5,5,5.0,tie,2026-04-13T15:37:16.678Z
sample_292,allenai/WildChat-1M,4,1,1,2.0,5,5,5,5.0,4,1,1,2.0,5,5,5,5.0,tie,2026-04-13T15:37:40.601Z
sample_378,allenai/WildChat-1M,5,5,4,4.67,5,5,5,5.0,3,3,3,3.0,3,3,3,3.0,fine_tuned,2026-04-13T15:37:57.540Z
sample_358,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,1,2,2.0,5,5,5,5.0,tie,2026-04-13T15:38:19.063Z
sample_53,GEM/schema_guided_dialog,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:38:19.140Z
sample_189,GEM/schema_guided_dialog,4,4,5,4.33,5,5,5,5.0,3,1,1,1.67,4,3,2,3.0,fine_tuned,2026-04-13T15:38:46.214Z
sample_80,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:38:51.941Z
sample_101,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,2,2,2.33,5,5,5,5.0,tie,2026-04-13T15:39:25.362Z
sample_18,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,3,2,2,2.33,4,4,5,4.33,tie,2026-04-13T15:39:56.021Z
sample_39,GEM/schema_guided_dialog,2,1,2,1.67,5,5,5,5.0,2,2,2,2.0,2,1,2,1.67,fine_tuned,2026-04-13T15:40:23.667Z
sample_352,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,4,5,4.33,tie,2026-04-13T15:40:45.972Z
sample_210,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,4,2,2,2.67,tie,2026-04-13T15:41:07.004Z
sample_315,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,3,1,1,1.67,tie,2026-04-13T15:41:18.971Z
sample_313,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,4,5,4.67,3,2,2,2.33,tie,2026-04-13T15:41:41.201Z
sample_224,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:41:46.335Z
sample_12,allenai/WildChat-1M,4,4,5,4.33,4,4,5,4.33,4,3,3,3.33,3,3,3,3.0,tie,2026-04-13T15:42:14.021Z
sample_344,allenai/WildChat-1M,5,5,5,5.0,5,5,5,5.0,4,2,2,2.67,4,2,2,2.67,tie,2026-04-13T15:42:28.813Z
sample_209,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,5,5,5,5.0,4,4,4,4.0,tie,2026-04-13T15:42:49.167Z
sample_305,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,2,1.67,5,5,5,5.0,tie,2026-04-13T15:46:17.576Z
sample_371,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,1,1.33,5,5,5,5.0,tie,2026-04-13T15:46:27.628Z
sample_389,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,2,1,3,2.0,5,5,5,5.0,tie,2026-04-13T15:46:39.850Z
sample_235,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,4,4,4,4.0,tie,2026-04-13T15:47:23.622Z
sample_104,allenai/WildChat-1M,4,4,4,4.0,5,5,3,4.33,4,4,4,4.0,4,4,3,3.67,fine_tuned,2026-04-13T15:48:35.502Z
sample_113,GEM/schema_guided_dialog,5,5,5,5.0,5,5,5,5.0,3,1,1,1.67,5,5,5,5.0,tie,2026-04-13T15:48:51.042Z
sample_243,GEM/schema_guided_dialog,5,5,5,5.0,4,5,5,4.67,4,4,3,3.67,5,4,5,4.67,base,2026-04-13T15:50:33.146Z
sample_198,allenai/WildChat-1M,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,3,3,3,3.0,tie,2026-04-13T15:50:34.870Z
